name,latitude,longitude
Kab. Kuningan,-6.9833333,108.48333329999998
Kab. Cirebon,-6.715534,108.564003
Kab. Majalengka,-6.8531026,108.22588970000001
Kab. Sumedang,0.6095949,110.0330554
Kab. Indramayu,-6.336315,108.32510400000001
Kab. Subang,-6.569361,107.752403
Kab. Purwakarta,-6.538680599999999,107.4499404
Kab. Karawang,-6.3227303,107.3375791
Kab. Bekasi,-6.2333333,107.0
Kab. Bandung Barat,-6.8937121,107.4321959
Kota Bogor,-6.6,106.8
Kota Sukabumi,-6.92405,106.922203
Kota Bandung,-6.9147444,107.6098111
Kota Cirebon,-6.715534,108.564003
Kota Bekasi,-6.2333333,107.0
Kota Depok,-6.39,106.83
Kota Cimahi,-6.8802389999999995,107.5355
Kota Tasikmalaya,-7.327953999999999,108.214104
Kota Banjar,-7.366666700000001,108.53333329999998
Kab. Cilacap,-7.733333,109.0
Kab. Banyumas,-7.4832133,109.14043799999999
Kab. Purbalingga,-7.390747,109.3638
Kab. Banjarnegara,-7.402705999999999,109.68139599999999
Kab. Kebumen,-7.678682000000001,109.656502
Kab. Purworejo,-7.709731,110.008003
Kab. Wonosobo,-7.362108999999999,109.899399
Kab. Magelang,-7.481253,110.213799
Kab. Boyolali,-7.5238190000000005,110.595901
Kab. Klaten,-7.7116869999999995,110.595497
Kab. Sukoharjo,-7.6808818,110.81952920000002
Kab. Wonogiri,-7.817782000000001,110.920601
Kab. Karanganyar,-7.596111099999999,110.95083329999999
Kab. Sragen,-7.430229,111.021301
Kab. Grobogan,-7.0217194,110.96258540000001
Kab. Blora,-6.95,111.41666670000001
Kab. Rembang,-6.711239999999999,111.345299
Kab. Pati,-6.7513380000000005,111.038002
Kab. Kudus,-6.804086999999999,110.83820300000001
Kab. Jepara,-6.559605900000001,110.6717
Kab. Demak,-6.888114999999999,110.639297
Kab. Semarang,-6.9666667,110.41666670000001
Kab. Temanggung,-7.316669,110.174797
Kab. Kendal,-6.9196860000000004,110.205597
Kab. Batang,-6.894111099999999,109.72345190000001
Kab. Pekalongan,-6.882886999999999,109.66999799999999
Kab. Pemalang,-6.884233999999999,109.377998
Kab. Tegal,-6.866666700000001,109.13333329999999
Kab. Brebes,-6.883333299999999,109.05
Kota Magelang,-7.481253,110.213799
Kota Surakarta,-7.5666667,110.81666670000001
Kota Salatiga,-7.302328,110.4729
Kota Semarang,-6.9666667,110.41666670000001
Kota Pekalongan,-6.882886999999999,109.66999799999999
Kota Tegal,-6.866666700000001,109.13333329999999
Kab. Kulon Progo,-7.8266798,110.1640846
Kab. Bantul,-7.884611099999999,110.3341111
Kab. Gunung Kidul,-8.0305091,110.61689209999999
Kota Yogyakarta,-7.797224000000001,110.368797
Kab. Pandeglang,-6.3148349999999995,106.103897
Kab. Lebak,-6.564395599999999,106.25221429999999
Kab. Tangerang,-6.1783056,106.63188889999999
Kab. Serang,-6.12009,106.150299
Kota Tangerang,-6.1783056,106.63188889999999
Kota Cilegon,-6.0169825,106.04050600000001
Kota Serang,-6.12009,106.150299
Kab. Jembrana,-8.361852,114.6418
Kab. Tabanan,-8.544516,115.11979699999999
Kab. Badung,-8.5819296,115.1770586
Kab. Gianyar,-8.544185,115.3255
Kab. Klungkung,-8.5389222,115.40451110000001
Kab. Bangli,-8.454303,115.354897
Kab. Karang Asem,-6.3996057,108.05030420000001
Kab. Buleleng,-8.113831,115.126999
Kota Denpasar,-8.65629,115.222099
Kab. Lombok Barat,-8.6464599,116.1123078
Kab. Lombok Tengah,-8.694623,116.27770729999999
Kab. Lombok Timur,-8.513447099999999,116.5609857
Kab. Sumbawa,-8.6529334,117.3616476
Kab. Dompu,-8.496631800000001,118.4747173
Kab. Bima,-8.460566,118.727402
Kab. Sumbawa Barat,-8.9292907,116.89103419999999
Kota Mataram,-8.583333300000001,116.11666670000001
Kota Bima,-8.460566,118.727402
Kab. Sumba Barat,-9.6548326,119.3947135
Kab. Sumba Timur,-9.9802103,120.3435506
Kab. Kupang,-10.183333300000001,123.58333329999999
Kab. Timor Tengah Selatan,-9.776281599999999,124.4198243
Kab. Timor Tengah Utara,-9.452264699999999,124.597132
Kab. Belu,-9.4125796,124.9506625
Kab. Alor,-8.2754027,124.72987649999999
Kab. Lembata,-8.4719075,123.4831906
Kab. Flores Timur,-8.3130942,122.9663018
Kab. Sikka,-8.6766175,122.12918429999999
Kab. Ende,-8.854053,121.654198
Kab. Ngada,-8.7430424,120.9876321
Kab. Manggarai,-8.6796987,120.38966509999999
Kab. Rote Ndao,-10.7386421,123.12390490000001
Kab. Manggarai Barat,-8.668814900000001,120.0665236
Kab. Sumba Tengah,-9.4879226,119.69626770000002
Kab. Sumba Barat Daya,-9.539139,119.13906419999999
Kab. Nagekeo,-8.6753545,121.3084088
Kab. Manggarai Timur,-8.6206712,120.6199895
Kota Kupang,-10.183333300000001,123.58333329999999
Kab. Sambas,1.361328,109.309998
Kab. Bengkayang,0.8209728999999999,109.477699
Kab. Landak,0.4237287,109.7591675
Kab. Pontianak,-0.022522999999999998,109.330307
Kab. Sanggau,0.119275,110.597298
Kab. Ketapang,-1.859098,109.971901
Kab. Sintang,0.080238,111.495499
Kab. Kapuas Hulu,-0.7931004,113.90606240000001
Kab. Sekadau,0.015637,110.888603
Kab. Melawi,-0.7000681,111.66607250000001
Kab. Kayong Utara,-0.9225877,110.0449662
Kab. Kubu Raya,-0.35339380000000004,109.4735066
Kota Pontianak,-0.022522999999999998,109.330307
Kota Singkawang,0.908795,108.984596
Kab. Kotawaringin Barat,-6.1961131,106.86301740000002
Kab. Kotawaringin Timur,-6.1952992,106.8630737
Kab. Kapuas,-0.045997199999999995,110.1313251
Kab. Barito Selatan,-1.8759430000000001,114.8092691
Kab. Barito Utara,-0.9587136,115.094045
Kab. Sukamara,-2.6267517000000002,111.2368084
Kab. Lamandau,-1.9269166000000002,111.18911509999998
Kab. Seruyan,-3.0123467,112.42914640000002
Kab. Katingan,-0.9758379,112.8105512
Kab. Pulang Pisau,-2.6849607000000004,113.9536466
Kab. Gunung Mas,-6.705277799999999,106.99138889999999
Kab. Barito Timur,-2.0123999,115.18891599999999
Kab. Murung Raya,-0.1362171,114.3341432
Kota Palangka Raya,-2.21,113.92
Kab. Tanah Laut,-3.7694047,114.8092691
Kab. Kota Baru,-6.332973,106.807915
Kab. Banjar,-7.366666700000001,108.53333329999998
Kab. Barito Kuala,-3.0714737999999997,114.6667939
Kab. Tapin,-2.9160746,115.0465991
Kab. Hulu Sungai Selatan,-2.7662681,115.23634080000001
Kab. Hulu Sungai Tengah,-2.6153162,115.5207358
Kab. Hulu Sungai Utara,-2.4421225,115.18891599999999
Kab. Tabalong,-1.8643020000000001,115.5681084
Kab. Tanah Bumbu,-3.4512244,115.5681084
Kab. Balangan,-2.3260425,115.61547320000001
Kota Banjarmasin,-3.328499,114.589203
Kota Banjar Baru,-3.4666667,114.75
Kab. Paser,-1.7175266,115.9467997
Kab. Kutai Barat,0.1353881,115.094045
Kab. Kutai Kartanegara,-0.1336655,116.6081653
Kab. Kutai Timur,0.9433773999999999,116.9852422
Kab. Berau,2.0450883,117.3616476
Kab. Malinau,3.584221,116.647797
Kab. Bulungan,2.9042476,116.9852422
Kab. Nunukan,4.0609227,117.666952
Kab. Penajam Paser Utara,-1.2917094,116.51379640000002
Kab. Tana Tidung,3.5518690000000004,117.07940819999999
Kota Balikpapan,-1.2635389,116.82788329999998
Kota Samarinda,-0.502183,117.153801
Kota Tarakan,3.3,117.63333329999999
Kota Bontang,0.1333333,117.5
Kab. Bolaang Mongondow,0.6870994,124.0641419
Kab. Minahasa,1.0,124.58333329999999
Kab. Kepulauan Sangihe,3.5303212,125.54389669999999
Kab. Kepulauan Talaud,4.092,126.76799999999999
Kab. Minahasa Selatan,1.0946773,124.4641848
Kab. Minahasa Utara,1.5327973,124.99475100000001
Kab. Bolaang Mongondow Utara,0.818691,123.52800719999999
Kab. Siau Tagulandang Biaro,2.345964,125.4124355
Kab. Minahasa Tenggara,1.0278551,124.72987649999999
Kota Manado,1.4917014,124.84284299999999
Kota Bitung,1.4553528999999998,125.204697
Kota Tomohon,1.3234131000000002,124.8384504
Kota Kotamobagu,0.7333333000000001,124.31666670000001
Kab. Banggai Kepulauan,-1.6408136999999998,123.55040759999999
Kab. Banggai,-1.6408136999999998,123.55040759999999
Kab. Morowali,-2.3003072,121.5370003
Kab. Poso,-1.3919219999999999,120.766998
Kab. Donggala,-0.42331549999999996,119.8352303
Kab. Toli-Toli,0.8768231,120.7579834
Kab. Buol,0.9695451999999999,121.35416310000001
Kab. Parigi Moutong,0.5817607,120.80394740000001
Kab. Tojo Una-Una,-1.098757,121.5370003
Kota Palu,-0.898583,119.850601
Kab. Selayar,-6.0,120.5
Kab. Bulukumba,-5.432936799999999,120.20510959999999
Kab. Bantaeng,-5.5169315999999995,120.02029640000002
Kab. Jeneponto,-5.554579,119.6730939
Kab. Takalar,-5.4162493,119.48756680000001
Kab. Gowa,-5.3102887999999995,119.742604
Kab. Sinjai,-5.2171961,120.11273500000001
Kab. Maros,-4.94695,119.578903
Kab. Pangkajene Dan Kepulauan,-4.805035,119.55716770000001
Kab. Barru,-4.4172651,119.6730939
Kab. Bone,-2.083333,120.21666699999999
Kab. Soppeng,-4.3518541,119.92779469999999
Kab. Wajo,-4.022229,120.0665236
Kab. Sidenreng Rappang,-3.7738981,120.02029640000002
Kab. Pinrang,-3.793071,119.6408
Kab. Enrekang,-3.563128,119.7612
Kab. Luwu,-3.3052214,120.2512728
Kab. Tana Toraja,-3.0753003,119.742604
Kab. Luwu Utara,-2.2690446,119.9740534
Kab. Luwu Timur,-2.5825517999999996,121.1710389
Kota Makassar,-5.133333299999999,119.41666670000001
Kota Pare-Pare,-4.0166667,119.6236111
Kota Palopo,-3.0,120.2
Kab. Buton,-5.309635500000001,122.98883190000001
Kab. Muna,-4.901629,122.6277455
Kab. Konawe,-3.9380432,122.08374450000001
Kab. Kolaka,-4.049665,121.59380300000001
Kab. Konawe Selatan,-4.2027915,122.44672379999999
Kab. Bombana,-4.6543462,121.90179540000001
Kab. Wakatobi,-5.3264442,123.59519250000001
Kab. Kolaka Utara,-3.1347227,121.1710389
Kab. Buton Utara,-4.702342400000001,123.0338767
Kab. Konawe Utara,-3.3803290999999995,122.08374450000001
Kota Kendari,-3.972201,122.51490279999999
Kota Bau-Bau,-5.46667,122.633
Kab. Boalemo,0.7013419,122.26538870000002
Kab. Gorontalo,0.5333333,123.06666670000001
Kab. Pohuwato,0.7055278,121.7195459
Kab. Bone Bolango,0.5657885,123.34861470000001
Kab. Gorontalo Utara,0.9252646999999999,122.4920088
Kota Gorontalo,0.5333333,123.06666670000001
Kab. Majene,-3.0297251,118.9062794
Kab. Polewali Mandar,-3.3419323,119.13906419999999
Kab. Mamasa,-2.9601349999999997,119.368202
Kab. Mamuju,-2.7293363999999998,118.92957369999999
Kab. Mamuju Utara,-1.5264541999999999,119.51077079999999
Kab. Maluku Tenggara Barat,-7.532264200000001,131.3611121
Kab. Maluku Tenggara,-5.7512455000000005,132.72715870000002
Kab. Maluku Tengah,-3.0166501,129.48644109999998
Kab. Buru Selatan,-3.3927754,126.7819505
Kab. Kepulauan Aru,-6.1946502,134.5501935
Kab. Seram Bagian Barat,-3.1271575,128.40083570000002
Kab. Seram Bagian Timur,-3.4150761,130.39048799999998
Kota Ambon,-3.6560699999999997,128.166419
Kota Tual,-5.6408510000000005,132.7475093
Kab. Halmahera Barat,1.3121235,128.4849923
Kab. Halmahera Tengah,1.3121235,128.4849923
Kab. Kepulauan Sula,-1.8666667000000001,125.36666670000001
Kab. Halmahera Selatan,1.3121235,128.4849923
Kab. Halmahera Utara,1.3121235,128.4849923
Kab. Halmahera Timur,1.3121235,128.4849923
Kota Ternate,0.7833333,127.36666670000001
Kota Tidore Kepulauan,0.6833333,127.4
Kab. Fakfak,-2.885237,132.26582820000002
Kab. Kaimana,-3.660925,133.774506
Kab. Teluk Wondama,-2.8551699,134.3236557
Kab. Teluk Bintuni,-1.9056848000000002,133.329466
Kab. Manokwari,-0.8614530999999999,134.06204209999999
Kab. Sorong Selatan,-0.8666666999999999,131.25
Kota Sorong,-0.8666666999999999,131.25
Kab. Raja Ampat,-1.0915151,130.8778586
Kab. Sorong,-0.8666666999999999,131.25
Kab. Merauke,-8.4960406,140.39455269999996
Kab. Jayawijaya,-4.0004481,138.7995122
Kab. Jayapura,-2.533,140.717
Kab. Nabire,-3.5095462,135.75209850000002
Kab. Kepulauan Yapen,-1.7469359,136.17090119999997
Kab. Biak Numfor,-1.0381022,135.98008480000001
Kab. Paniai,-3.7876441,136.3624686
Kab. Puncak Jaya,-4.083611100000001,137.18472219999998
Kab. Mimika,-4.4553223,137.1362125
Kab. Boven Digoel,-5.7400018,140.3481835
Kab. Mappi,-7.102232000000001,139.396393
Kab. Asmat,-5.0573958,138.3988186
Kab. Yahukimo,-4.4939717,139.52799960000002
